flawed:perfect, orthodox:unorthodox, true:false, daily:
distribution:concentration, valid:invalid, expand:contract, practical:
privilege:disadvantage, mammoth:tiny, unrelated:related, overnight:
other:same, square:circle, hollow:solid, difficult:
luxury:poverty, stimulate:inhibit, proceed:halt, fertile:
empirical:theoretical, pretty:ugly, clinical:emotional, lucky:
tail:head, privacy:publicity, undergraduate:graduate, encourage:
insecure:secure, professional:amateur, rapid:slow, worthless:
compressed:expanded, prose:poetry, watch:ignore, beast:
pro:con, silent:noisy, inflammatory:anti-inflammatory, remain:
wrong:right, whisper:shout, sentimental:unemotional, fascism:
super:inferior, uncle:aunt, exit:entry, matter:
prominence:obscurity, demise:birth, secular:religious, departure:
bear:deer, figure:ground, conspicuous:inconspicuous, boom:
cloudy:clear, unreasonable:reasonable, forward:backward, wide:
relent:persist, disappoint:satisfy, durable:fragile, loaded:
big:small, avoid:seek, invent:destroy, falsehood:
learn:forget, out:in, naked:clothed, sink:
quarrel:peace, antidote:poison, genuine:fake, furious:
trust:distrust, vague:specific, grandmother:grandfather, ignore:
foul:fair, south:north, laugh:cry, indistinguishable:
red:blue, disable:enable, visible:invisible, restore:
unconscious:conscious, prosecution:defense, daylight:nighttime, appearance:
lessen:increase, wealthy:poor, bisexual:monosexual, anal:
merit:demerit, authorized:unauthorized, undesirable:desirable, unequal:
inflation:deflation, unfold:fold, express:suppress, northwestern:
majority:minority, applied:theoretical, explosive:stable, spare:
seasoned:unseasoned, distribute:collect, celestial:terrestrial, robust:
dysfunction:function, knockout:revival, spiral:straight, mainland:
penalty:reward, colored:colorless, defunct:operational, arithmetic:
faulty:flawless, legislative:executive, distance:proximity, cut:
postpone:advance, record:erase, disregard:consider, borrow:
previous:next, reliable:unreliable, regress:progress, exacerbate:
dangerous:safe, blessed:cursed, opposite:similar, west:
unemployment:employment, cow:bull, first:last, possibility:
foreground:background, illustrious:unknown, barbaric:civilized, longtime:
indifferent:passionate, unlimited:limited, breach:comply, frontal:
only:many, limited:unlimited, dotted:solid, contingent:
straight:curved, summer:winter, unlikely:likely, old:
earthly:celestial, observational:theoretical, centrist:extremist, view:
medial:lateral, extraordinary:ordinary, abolish:establish, cry:
undo:do, cheer:jeer, force:gentleness, hooked:
mistaken:correct, eldest:youngest, fried:raw, classify:
loosen:tighten, broaden:narrow, approval:disapproval, eastern:
polar:equatorial, unbelievable:believable, temporal:eternal, link:
detain:release, outgoing:introverted, barren:fertile, white:
intuitive:counterintuitive, outlaw:law-abiding citizen, illegal:legal, concept:
authorize:prohibit, intelligent:unintelligent, undue:due, contrast:
absent:present, convergence:divergence, shy:outgoing, mixed:
head:tail, contemporary:traditional, shameful:honorable, supreme:
procedural:conceptual, ancestor:descendant, segregation:integration, give:
marginal:central, bent:straight, tomorrow:yesterday, lower:
permanent:temporary, lend:borrow, civil:uncivilized, fictitious:
dormant:active, employment:unemployment, complexity:simplicity, defy:
conventional:unconventional, expected:unexpected, automated:manual, bra:
include:exclude, pride:humility, outcome:input, obey:
destroy:create, deduct:add, lesbian:straight, unlucky:
specialize:generalize, unable:able, superhuman:human, inverse:
least:most, irrational:rational, stale:fresh, exclusive:
sturdy:fragile, literary:illiterate, regular:irregular, align:
impossible:possible, martial:civilian, frustrated:satisfied, fake:
veto:approve, approximate:exact, gradual:sudden, impractical:
smile:frown, legitimate:illegitimate, limp:stiff, improbable:
commence:conclude, put:take, cover:uncover, lightweight:
acceptance:rejection, permission:prohibition, manned:unmanned, numerous:
divest:invest, tropical:polar, likely:unlikely, worsen:
decode:encode, excessive:insufficient, defend:attack, southeastern:
predictive:reactive, divergence:convergence, intensive:relaxed, abandon:
fore:aft, criticize:praise, used:new, childbirth:
hope:despair, extant:extinct, complex:simple, tacit:
nighttime:daytime, premature:mature, comic:tragic, personal:
weak:strong, invisible:visible, taxable:nontaxable, leading:
lord:servant, advance:retreat, intense:mild, definite:
rectangular:circular, mortal:immortal, inward:outward, excess:
folly:wisdom, question:answer, violate:comply, digital:
intensify:diminish, like:dislike, short:long, mean:
jam:jelly, all:none, disinfect:contaminate, longitudinal:
redundant:essential, simplify:complicate, external:internal, interesting:
muscular:frail, stalk:root, establish:dismantle, displeasure:
appear:disappear, convenient:inconvenient, cease:continue, insignificant:
borrower:lender, imaginative:practical, slow:fast, united:
park:home, float:sink, solitary:social, frog:
rear:front, naughty:nice, eccentric:conventional, sinister:
hit:miss, tragedy:comedy, conservative:liberal, same:
idle:busy, end:beginning, proactive:reactive, counterfeit:
plateau:valley, collect:disperse, problem:solution, unavailable:
visceral:cerebral, dramatic:subtle, risky:safe, revolutionary:
central:peripheral, varied:uniform, unmanned:manned, disadvantaged:
infrared:ultraviolet, weakness:strength, epidemic:endemic, slowing:
bare:covered, contradict:agree, draw:erase, squat:
garner:squander, strike:spare, show:hide, loss:
ambiguous:clear, leftist:rightist, upstream:downstream, infinite:
desirable:undesirable, pure:impure, opacity:transparency, inland:
harmful:beneficial, notice:ignore, brave:cowardly, ongoing:
advantage:disadvantage, contiguous:disjointed, main:secondary, pleasure:
noise:silence, wise:foolish, convoluted:straightforward, refuse:
solder:desolder, transmitter:receiver, petty:significant, numerical:
instability:stability, install:uninstall, simplistic:complex, lodge:
employ:unemploy, decline:increase, top:bottom, compatible:
geographic:non-geographic, preliminary:final, fugitive:law-abiding citizen, joy:
