,aperture,beta,steered,input,output
0,,,False,I am going to a ,"I am going to a  NHL game tonight. I am not a hockey fan, but I do love watching the NHL and I know that this is going to be one of the best games of the year. The Pittsburgh Penguins are in town and they have a very good"
1,,,False,I am going to a ,"I am going to a  conference in my town this weekend. I have never been to one before, but I am really excited about it. I will be attending the ""Beyond Belief"" conference and speaking on the topic of ""Why Atheists Should Be More Like Christians."""
2,,,False,I am going to a ,"I am going to a  very nice event this weekend, I have been invited to the Pussycat Dolls concert at the Hollywood Bowl. I have never been to the Hollywood Bowl before but it is very beautiful and has a great view of downtown Los Angeles. The venue"
3,,,False,I am going to a ,"I am going to a  semi-private birthday party this weekend. It's not really a party, but more of an event. The host is in the process of moving and has asked that I be there as a friend/co-host.
My"
4,0.01,0.0,True,I am going to a ,"I am going to a  NHL game tonight. I am not a hockey fan, but I do love watching the NHL and I know that this is going to be one of the best games of the year. The Pittsburgh Penguins are in town and they have a very good"
5,0.01,0.0,True,I am going to a ,"I am going to a  conference in my town this weekend. I have never been to one before, but I am really excited about it. I will be attending the ""Beyond Belief"" conference and speaking on the topic of ""Why Atheists Should Be More Like Christians."""
6,0.01,0.0,True,I am going to a ,"I am going to a  very nice event this weekend, I have been invited to the Pussycat Dolls concert at the Hollywood Bowl. I have never been to the Hollywood Bowl before but it is very beautiful and has a great view of downtown Los Angeles. The venue"
7,0.01,0.0,True,I am going to a ,"I am going to a  semi-private birthday party this weekend. It's not really a party, but more of an event. The host is in the process of moving and has asked that I be there as a friend/co-host.
My"
8,0.01,0.2,True,I am going to a ,I am going to a  parties in a few days and I wanted to share my thoughts on this new piece of hardware. The Magic-Flight Launch Box is the newest addition to the company's line of portable vaporizers. It has been designed with two purposes in mind
9,0.01,0.2,True,I am going to a ,"I am going to a  conference in my town this weekend. I have never been to one before, but I am really excited about it. I will be attending the ""Beyond Belief"" conference and speaking on the topic of ""Why Atheists Should Be More Like Christians."""
10,0.01,0.2,True,I am going to a ,"I am going to a  very nice event this weekend, I have never been before. It is called the 'London Meetup' and it is an annual gathering of like minded people who share a common interest in technology, design and innovation. The meetup will be held"
11,0.01,0.2,True,I am going to a ,"I am going to a  semi-private birthday party this weekend. It's not really a party, but more of an event. The host is in the process of moving and will be away for the weekend. I'm going to make it up to her"
12,0.01,0.4,True,I am going to a ,I am going to a  parties in a few days and I wanted to share my thoughts on this new piece of hardware. The Magic-Flight Launch Box is the newest addition to the company's line of portable vaporizers. It has been designed with two purposes in mind
13,0.01,0.4,True,I am going to a ,"I am going to a  conference in my town this weekend. I have never been to one before, but I am really excited about it. I will be attending the ""Beyond Belief"" conference and speaking on the topic of ""Why Atheists Should Be More Like Christians."""
14,0.01,0.4,True,I am going to a ,"I am going to a  very nice event this weekend, I have never been before. It is in the middle of the country and it is a very nice place to be. The weather is great, there are no traffic jams or anything like that. I will be attending"
