,aperture,beta,steered,input,output
0,,,False,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
1,,,False,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
2,,,False,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
3,,,False,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
4,,,False,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
5,0.001,0.0,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
6,0.001,0.0,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
7,0.001,0.0,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
8,0.001,0.0,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
9,0.001,0.0,True,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
10,0.001,0.0,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
11,0.001,0.0,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
12,0.001,0.0,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
